Name,Type,Alignment,Armor Class,HP,Speed,Str,Dex,Con,Int,Wis,Cha,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,Challenge,Traits,Actions,Legendary Actions,Intro,MetaTitle,MetaDescription,Source
Drowned Assassin,Medium undead,Chaotic Evil,14 ( leather armor),67 (9d8 + 27),30ft.,15,16,16,9,9,16,"Dex: +5, Con: +5","intimidation: +5, stealth: +5",None,None,poison,poisoned,"darkvision 60 ft., passive perception 9","""understands the languages it knew in life but cant speak""",4,"
Bottom Treader: The drowned assassin cannot swim, and it sinks to the bottom of any body of water. It takes no penalties to its movement or attacks underwater. It is immune to the effects of being underwater at a depth greater than 100 feet.
Bound Together: The drowned assassin shares its mind with every other drowned one within 1 mile of it, and can communicate its thoughts and observations to them instantaneously and without limitation.
Undead Fortitude: If damage reduces the drowned assassin to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the drowned assassin drops to 1 hit point instead.","
Multiattack: The drowned assassin makes two hand crossbow attacks or two dagger attacks. It can then take the Dash, Disengage, or Hide action.
Hand Crossbow: Ranged Weapon Attack: +5 to hit, range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage plus 3 (1d6) poison damage, and the target must succeed on a DC: 12 Constitution saving throw or contract bluerot (see the ""Bluerot"" in notes).
Dagger: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage plus 9 (2d8) poison damage, and the target must succeed on a DC: 12 Constitution saving throw or contract bluerot (see the ""Bluerot"" in notes).
Reveal (1/Day): The drowned assassin removes its mask, revealing its rotting face. Each creature of the assassin's choice within 30 feet of it that can see the assassin must succeed on a DC: 13 Wisdom saving throw or be frightened until the end of its next turn.",None,not in this JSON,Drowned Assassin - Monsters | DnD Wiki,"Drowned Assassin is a CR 4, Chaotic Evil, undead, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Drowned Blade,Medium undead,Chaotic Evil,10 ( leather armor),45 (6d8 + 18),30ft.,16,8,16,3,9,5,None,None,None,None,poison,poisoned,"darkvision 60 ft., passive perception 9","""understands the languages it knew in life but cant speak""",2,"
Bottom Treader: The drowned blade cannot swim, and it sinks to the bottom of any body of water. It takes no penalties to its movement or attacks underwater. It is immune to the effects of being underwater at a depth greater than 100 feet.
Bound Together: The drowned blade shares its mind with every other drowned one within 1 mile of it, and can communicate its thoughts and observations to them instantaneously and without limitation.
Undead Fortitude: If damage reduces the drowned blade to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the drowned blade drops to 1 hit point instead.","
Multiattack: The drowned blade makes two rusted longsword attacks.
Rusted Longsword: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, and the target must succeed on a DC: 12 Constitution saving throw or contract bluerot (see the ""Bluerot"" in notes).",None,not in this JSON,Drowned Blade - Monsters | DnD Wiki,"Drowned Blade is a CR 2, Chaotic Evil, undead, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Drowned Master,Medium undead,Chaotic Evil,14 (natural armor),157 (21d8 + 63),30ft.,17,12,16,9,14,12,"Con: +7, Wis: +6",perception: +10,None,None,poison,poisoned,"darkvision 60 ft., passive perception 20","""understands the languages it knew in life but cant speak""",9,"
Bound Together: The drowned master shares its mind with every other drowned one within 1 mile of it, and can communicate its thoughts and observations to them instantaneously and without limitation.
Cold Aura: At the start of each of the drowned master's turns, each creature within 5 feet of it takes 5 (1d10) cold damage. A creature that touches the drowned master or hits it with a melee attack while within 5 feet of it takes 5 (1d10) cold damage.
Undead Fortitude: If damage reduces the drowned master to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the drowned master drops to 1 hit point instead.","
Multiattack: The drowned master makes two attacks: one with its greatsword and one with its Life-Draining Tentacle.
Greatsword: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage plus 14 (4d6) cold damage, and the target must succeed on a DC: 12 Constitution saving throw or contract bluerot (see the ""Bluerot"" in notes).
Life-Draining Tentacle: Melee Weapon Attack: +7 to hit, reach 15 ft., one target. Hit: 10 (2d6 + 3) necrotic damage. The target must succeed on a DC: 15 Constitution saving throw or have its hit point maximum reduced by an amount equal to the damage taken. The target dies if this effect reduces its hit point maximum to 0. This reduction lasts until the target finishes a long rest. On a failed save, the target also contracts bluerot (see the ""Bluerot"" in notes).
Necrotic Ink  - Recharge  5: The drowned master discharges foul ink in front of itself in a 30-foot cone. Each creature caught in the ink must make a DC: 15 Constitution saving throw, taking 27 (6d8) necrotic damage on a failed save or half as much damage on a successful one. A creature that fails this saving throw is blinded until the end of its next turn and contracts bluerot (see the ""Bluerot"" in notes).",None,not in this JSON,Drowned Master - Monsters | DnD Wiki,"Drowned Master is a CR 9, Chaotic Evil, undead, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Fish,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Fish - Monsters | DnD Wiki,"Fish is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Giant Coral Snake,Large beast,Unaligned,13,90 (12d10 + 24),"30ft., swim 30ft.",12,16,14,2,10,3,None,perception: +2,None,None,None,None,"blindsight 10 ft., passive perception 12",error,4,error,"
Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) piercing damage, and the target must succeed on a DC: 12 Constitution saving throw or be stunned until the end of its next turn. On a failed save, the target begins to hallucinate and is afflicted with a {@table short-term madness|DMG effect (determined randomly or by the DM; see ""Madness"" in chapter 8 of the {@book Dungeon Master's Guide|dmg|8|madness). The effect lasts 10 minutes.",None,not in this JSON,Giant Coral Snake - Monsters | DnD Wiki,"Giant Coral Snake is a CR 4, Unaligned, beast, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Giant Sea Eel,Large beast,Unaligned,14 (natural armor),19 (3d10 + 3),"0ft., swim 40ft.",11,14,12,7,10,7,Dex: +4,"perception: +2, stealth: +4",None,None,None,None,"darkvision 60 ft., passive perception 12",error,1/2,"
Water Breathing: The eel can breathe only underwater.","
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 13 (2d10 + 2) piercing damage.",None,not in this JSON,Giant Sea Eel - Monsters | DnD Wiki,"Giant Sea Eel is a CR 1/2, Unaligned, beast, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Giant White Moray Eel,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,"0ft., swim 40ft.",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,"perception: +2, stealth: +4",None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Giant White Moray Eel - Monsters | DnD Wiki,"Giant White Moray Eel is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Harpy Matriarch,Medium monstrosity,Chaotic Evil,14 (natural armor),88 (16d8 + 16),"20ft., fly 40ft.",13,16,12,9,10,16,"Dex: +6, Cha: +6",perception: +3,None,None,None,None,"darkvision 60 ft., passive perception 13",Common,5,"
Luring Maestro: While within 60 feet of the matriarch, creatures have disadvantage on saving throws against the matriarch's
Magic Resistance: The matriarch has advantage on saving throws against spells and other magical effects.","
Multiattack: The matriarch makes two claws attacks.
Claws: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (3d6 + 3) slashing damage.
Fleeting Form: The matriarch can magically disguise itself to resemble a humanoid of roughly similar size and shape for up to 1 hour. It can revert to its true form as a bonus action. This illusion does not hold up to close scrutiny.
Luring Song: The matriarch sings a magical melody. Every humanoid and giant within 300 feet of the matriarch that can hear the song must succeed on a DC: 14 Wisdom saving throw or be charmed until the song ends. The matriarch must take a bonus action on its subsequent turns to continue singing. It can stop singing at any time. The song ends if the matriarch is incapacitated.
Visage of Desire (1/Day): The matriarch projects a vision into the minds of creatures within 30 feet of it that aren't constructs or undead, showing each creature achieving whatever it most desires. An affected creature must succeed on a DC: 14 Wisdom saving throw or drop whatever it is holding and become paralyzed until the end of its next turn.",None,not in this JSON,Harpy Matriarch - Monsters | DnD Wiki,"Harpy Matriarch is a CR 5, Chaotic Evil, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Juvenile Kraken,Huge monstrosity,Chaotic Evil,16 (natural armor),207 (18d12 + 90),"20ft., swim 50ft.",24,11,20,19,15,17,"Str: +12, Dex: +5, Con: +10, Int: +9, Wis: +7",None,None,"bludgeoning, piercing and slashing from nonmagical attacks",lightning,"frightened, paralyzed","truesight 120 ft., passive perception 12","Abyssal, Celestial, Infernal, Primordial, ""telepathy 60 ft. but cant speak""",14,"
Amphibious: The kraken can breathe air and water.
Freedom of Movement: The kraken ignores difficult terrain, and magical effects can't reduce its speed or cause it to be restrained. It can spend 5 feet of movement to escape from nonmagical restraints or being grappled.","
Multiattack: The kraken makes two tentacle attacks, each of which it can replace with a use of Fling.
Bite: Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 20 (3d8 + 7) piercing damage. If the target is a Medium or smaller creature grappled by the kraken, that creature is swallowed and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the kraken, and it takes 21 (6d6) acid damage at the start of each of the kraken's turns. One Medium or two smaller creatures can be swallowed at the same time.
Tentacle: Melee Weapon Attack: +12 to hit, reach 20 ft., one target. Hit: 17 (3d6 + 7) bludgeoning damage, and the target is grappled (escape DC: 20). Until the grapple ends, the target is restrained. The kraken has ten tentacles, each of which can grapple one target.
Fling: One Medium or smaller object held or creature grappled by the kraken is thrown up to 40 feet in a random direction and knocked prone. If a thrown target strikes a solid surface, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC: 13 Dexterity saving throw or take the same damage and be knocked prone.
Lightning Strike: The kraken magically create a bolt of lightning, which can strike a target the kraken can see within 90 feet of it. The target must make a DC: 18 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.","
Multiattack: The kraken makes two tentacle attacks, each of which it can replace with a use of Fling.
Bite: Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 20 (3d8 + 7) piercing damage. If the target is a Medium or smaller creature grappled by the kraken, that creature is swallowed and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the kraken, and it takes 21 (6d6) acid damage at the start of each of the kraken's turns. One Medium or two smaller creatures can be swallowed at the same time.
Tentacle: Melee Weapon Attack: +12 to hit, reach 20 ft., one target. Hit: 17 (3d6 + 7) bludgeoning damage, and the target is grappled (escape DC: 20). Until the grapple ends, the target is restrained. The kraken has ten tentacles, each of which can grapple one target.",not in this JSON,Juvenile Kraken - Monsters | DnD Wiki,"Juvenile Kraken is a CR 14, Chaotic Evil, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Koalinth,Medium humanoid,Lawful Evil,14 ( scale mail),16 (3d8 + 3),"30ft., swim 20ft.",13,11,12,11,10,11,Dex: +2,"athletics: +3, perception: +2",None,None,None,None,"darkvision 60 ft., passive perception 12","Common, Goblin",1/2,"
Amphibious: The koalinth can breathe air and water.
Martial Advantage: Once per turn, the koalinth can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the koalinth that isn't incapacitated.","
Trident: Melee or Ranged Weapon Attack: ++3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.",None,not in this JSON,Koalinth - Monsters | DnD Wiki,"Koalinth is a CR 1/2, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Koalinth Sergeant,Medium humanoid,Lawful Evil,14 ( scale mail),33 (6d8 + 6),"30ft., swim 30ft.",14,11,12,11,10,12,"Dex: +2, Wis: +2","athletics: +4, perception: +2",None,None,None,None,"darkvision 60 ft., passive perception 12","Common, Goblin",2,"
Amphibious: The koalinth can breathe air and water.
Martial Advantage: Once per turn, the sergeant can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the sergeant that isn't incapacitated.","
Multiattack: The sergeant makes two melee attacks with its trident.
Trident: Melee or Ranged Weapon Attack: ++4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack.
Hooked Net: Ranged Weapon Attack: +4 to hit, range 10/30 ft., one target. Hit: 4 (1d4 + 2) piercing damage, and the target is restrained. A creature can use its action to make a DC: 12 Strength check to free itself or another creature in a hooked net, ending the effect on a success. Dealing 5 slashing damage to the net (AC 12) frees the target without harming it and destroys the net.",None,not in this JSON,Koalinth Sergeant - Monsters | DnD Wiki,"Koalinth Sergeant is a CR 2, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Krell Grohlg,NOT FOUND NOT FOUND,Chaotic Evil,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,"Common, Orc",NOT FOUND,error,error,None,not in this JSON,Krell Grohlg - Monsters | DnD Wiki,"Krell Grohlg is a CR NOT FOUND, Chaotic Evil, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Kysh,Medium humanoid,Lawful Good,13,27 (5d8 + 5),"30ft., swim 30ft.",14,16,12,10,13,14,None,"persuasion: +4, survival: +3",None,None,None,None,"darkvision 60 ft., passive perception 11","Common, Primordial",1,"
Amphibious: Kysh can breathe air and water.
Emissary of the Sea: Kysh can communicate simple ideas with amphibious and water-breathing beasts. They understand the meaning of his words, but he cannot understand them in return.","
Multiattack: Kysh makes two melee attacks with his spear.
Spear: Melee or Ranged Weapon Attack: ++4 to hit, reach 5 ft. or range 20/60 ft, one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack.",None,not in this JSON,Kysh - Monsters | DnD Wiki,"Kysh is a CR 1, Lawful Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
